
,,,,AFDC Total,,CL Covered,,,,,,,FLEX CREDITS,,,,,,,CONVERSATIONS,,,,,,,DATA SERVICE CREDITS
,,OU,CLs,# of Accts,AFDC AOV ($M),# of Accts,AFDC AOV ($M),,,,OU,,Allowance,Proj. Use,Used,Q/Q Change,Util %,CRR %,,Allowance,Proj. Use,Used,Q/Q Change,Util %,CRR %,,Allowance,Proj. Use, Used,Q/Q Change,Util %,CRR %
,GLOBAL,Global,62,"12,507",1132M,909 (7%),359M (32%),,,GLOBAL,Global,,81.7B,15.0B,458M,+378M,0.6%,3.1%,,720M,132M,5.71M,+2.2M,0.8%,4%,,"1,785B",465B,208B,+48B,12%,45%
,GLOBAL,Global Ex. SMB,60,"9,272",1099M,885 (10%),358M (33%),,,Global Excl SMB,Global Ex. SMB,,77.8B,14.2B,426M,+356M,0.5%,3.0%,,711M,128M,5.20M,+2.2M,0.7%,4%,,"1,769B",461B,207B,+48B,12%,45%
,REG,AMER REG,13,1053,211M,184 (17%),103M (49%),,,REG,AMER REG,,8.8B,2.1B,76M,+67M,0.9%,3.7%,,13M,6M,0.10M,+0.1M,0.8%,2%,,256B,59B,16B,+3B,6%,27%
,ACC,AMER ACC,7,1089,301M,90 (8%),65M (22%),,,ACC,AMER ACC,,24.5B,5.0B,79M,+59M,0.3%,1.6%,,638M,100M,0.73M,+0.1M,0.1%,1%,,531B,119B,39B,-3B,7%,33%
,ICE,AMER ICE,7,692,108M,107 (15%),45M (42%),,,ICE,AMER ICE,,6.4B,1.2B,75M,+68M,1.2%,6.1%,,10M,4M,1.08M,+0.7M,10.3%,28%,,273B,64B,33B,+13B,12%,51%
,LATAM,LATAM,5,669,92M,78 (12%),34M (37%),,,LATAM,LATAM,,12.3B,1.3B,63M,+57M,0.5%,4.8%,,14M,6M,2.01M,+1.1M,13.9%,34%,,254B,89B,70B,+26B,28%,79%
,UKI,UKI,5,417,65M,58 (14%),30M (47%),,,UKI,UKI,,5.5B,0.4B,15M,+10M,0.3%,3.4%,,10M,3M,0.03M,-0.1M,0.3%,1%,,123B,20B,4B,+1B,3%,18%
,CENTRAL,EMEA Central,4,506,53M,33 (7%),8M (15%),,,CENTRAL,EMEA Central,,2.5B,0.5B,9M,+7M,0.4%,1.9%,,2M,1M,0.00M,-0.0M,0.2%,0%,,70B,13B,2B,-0B,3%,17%
,SOUTH,EMEA South,5,683,53M,83 (12%),21M (40%),,,SOUTH,EMEA South,,3.7B,0.9B,34M,+25M,0.9%,4.0%,,3M,1M,0.23M,+0.1M,6.9%,18%,,72B,22B,9B,+2B,13%,42%
,FRANCE,EMEA FRANCE,2,387,36M,24 (6%),9M (26%),,,FRANCE,EMEA FRANCE,,1.8B,0.4B,6M,+6M,0.3%,1.5%,,2M,1M,0.04M,+0.0M,1.7%,3%,,25B,9B,8B,+2B,34%,96%
,NORTH,EMEA North,2,431,29M,53 (12%),13M (45%),,,NORTH,EMEA North,,3.3B,0.5B,29M,+26M,0.9%,5.5%,,7M,2M,0.82M,+0.2M,11.5%,39%,,13B,3B,1B,+0B,8%,31%
,ANZ,ANZ,3,532,33M,68 (13%),13M (41%),,,ANZ,ANZ,,1.4B,0.3B,9M,+7M,0.7%,3.7%,,3M,1M,0.06M,+0.0M,2.4%,5%,,32B,10B,2B,+1B,7%,23%
,JP,JPKR,2,1206,24M,17 (1%),1M (5%),,,JP,JPKR,,3.3B,0.5B,12M,+9M,0.4%,2.3%,,1M,0M,0.02M,+0.0M,2.3%,5%,,11B,5B,2B,+0B,17%,37%
,SASIA,SASIA,2,540,31M,20 (4%),2M (7%),,,ASEAN,ASEAN,,0.3B,0.1B,6M,+5M,1.8%,6.0%,,1M,0M,0.03M,-0.0M,3.1%,5%,,16B,6B,4B,-0B,23%,60%
,GPS,PubSec+.org,3,1067,63M,70 (7%),12M (19%),,,INDIA,INDIA,,1.7B,0.5B,3M,+2M,0.2%,0.6%,,1M,1M,0.03M,+0.0M,3.1%,5%,,49B,25B,13B,+2B,26%,52%
,SMB,Global SMB,2,3235,32M,24 (1%),1M (4%),,,GPS,PubSec+.org,,2.3B,0.6B,9M,+7M,0.4%,1.5%,,4M,2M,0.03M,+0.0M,0.7%,2%,,44B,16B,4B,+1B,10%,26%
,,,,,,,,,,SMB,Global SMB,,3.9B,0.7B,32M,+22M,0.8%,4.2%,,9M,4M,0.51M,+0.1M,5.8%,13%,,16B,4B,1B,+0B,5%,22%
,,Data refreshed as of: 1/12
