,Agentforce All Accounts

,BU ,LATAM,,Snapshot
,OU,*,,# of accounts,313
,AOV Band,"06. 100K-500K, 05. 500K-1M, 04. 1M-5M, 03. 5M-10M, 02. 10M-25M, 01. >25M, 07. 50K-100K, 08. 10K-50K, 09. 1K-10K, 10. <1K",,AOV ($),27M
,Success Plan,*,,Flex Credits Allowance,"12,276M"
,CL Influence,*,,Conv Allowance,14M
,FDE Covered,*
,,ACCT_NM,CY_AGENTFORCE_AOV,CY_AGENTFORCE_ACV,CY_AGENTFORCE_OP,CY_AGENTFORCE_PG,STAGE_NM,ORG62_SUPPORT_LEVEL,FDE Covered,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,Account #,Account Name,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Success Plan,FDE,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,TOTALS,-,27.3M,14.3M,12.8M,40.0M,-,,,,,,"12,276M","1,300M",62.92M,1%,"2,881M",6M,0%,+57M,+1032%,5%,,14M,6M,2M,14%,15M,1M,6%,+1M,+120%,34%
,0013000000ZlQslAAF,EMPRESA DE TECNOLOGIA E INFORMACOES DA PREVIDENCIA S.A. - DATAPREV,5.3M,5.0M,0.0M,5.0M,Agents Used in Prod,Signature,N,,11,,"2,776M",181M,0M,0%,−,−,-,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013y00001cTL3XAAW,"Comunicación Celular, S.A. (Org B2C Industries)",5.1M,0.9M,−,1.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,N,Leonardo Teren,11,,−,−,6M,-,119M,0M,0%,+6M,+246737%,-,,−,−,−,-,−,−,-,–,-,-
,00130000005tQ9vAAE,Telecom Argentina S.A.,3.4M,0.8M,−,0.8M,Agents Used in Prod,Signature,Y,,33,,"5,003M",361M,0M,0%,554M,0M,0%,+0M,+434%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000001C9skXAAR,Falabella Tecnologia Corporativa SpA,0.8M,0.5M,−,0.5M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,Y,Nicolas Gamallo,15,,−,−,−,-,−,−,-,–,-,-,,4M,1M,1M,28%,4M,0M,11%,+1M,+156%,79%
,0013y00001exv2KAAQ,GLOBO COMUNICACAO E PARTICIPACOES S/A - D2C - ID 354224,0.7M,−,−,0.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,Y,,0,,−,−,−,-,−,−,-,–,-,-,,1M,−,0M,43%,1M,0M,26%,+0M,+66%,-
,0013000001GWuWWAA1,Banco Agibank S.A,0.7M,0.7M,0.4M,0.9M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,N,Kamilla Ladeira,12,,−,−,−,-,−,−,-,–,-,-,,2M,1M,0M,24%,2M,0M,13%,+0M,+91%,50%
,0013000001M1hVLAAZ,"Total Play Telecomunicaciones, S.A de C.V.",0.5M,0.3M,−,0.5M,Agents Used in Prod,Signature,N,Abel Hernandez,30,,"1,006M",47M,−,0%,−,−,-,–,-,0%,,−,−,−,-,0M,0M,0%,-0M,-100%,-
,00130000005dLuMAAU,MercadoLibre SRL,0.5M,0.8M,−,0.8M,Agents Used in Prod,Signature,Y,,11,,15M,1M,0M,0%,2M,0M,0%,+0M,+703%,1%,,−,−,−,-,−,−,-,–,-,-
,0013y00001fSpS3AAK,ONUS COMERCIAL S.A. DE C.V.,0.5M,0.5M,−,−,Purchased SKU,Premier,N,Abel Hernandez,30,,520M,76M,−,0%,520M,−,0%,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000001GWIUtAAP,Hapvida Assistência Médica Ltda.,0.4M,−,−,0.3M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,30,,330M,50M,0M,0%,330M,0M,0%,+0M,+89%,1%,,−,−,−,-,−,−,-,–,-,-
,00130000003Fv9BAAS,Liberty Telecoms CR LY SA,0.4M,0.0M,−,0.6M,Agents Activated in Prod,Signature,N,,37,,−,−,−,-,−,−,-,–,-,-,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0013000000M1P6kAAF,"Cablevisión, S.A. de C.V.",0.4M,0.2M,−,0.3M,Agents Used in Prod,Signature,N,Abel Hernandez,35,,109M,14M,0M,0%,109M,0M,0%,+0M,+103%,2%,,−,−,−,-,−,−,-,–,-,-
,0013000000rosvvAAA,Banco Ripley,0.3M,0.3M,−,0.3M,Agents Used in Prod,Premier,N,,8,,96M,28M,0M,0%,96M,0M,0%,+0M,+17%,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001WYEHwQAP,Ualá,0.3M,−,,0.5M,Purchased SKU,Signature,N,,30,,121M,19M,0M,0%,121M,−,0%,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000IkQD7AAN,CIELO S.A - INSTITUICAO DE PAGAMENTO,0.3M,−,−,0.5M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,Y,,15,,156M,42M,0M,0%,156M,0M,0%,+0M,+71%,1%,,−,−,−,-,−,−,-,–,-,-
,0013y00001fSpvFAAS,SERVICIOS LIVERPOOL S.A. DE C.V.,0.3M,−,−,0.3M,Agents Created in Prod or Sandbox,Signature,N,,11,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
