TOTAL_COMPLETED_CASES,TEAM,ENG_ACCOUNT_ID,DERIVED_CLOUD,END_DT,START_DT,Acct_ID_18
1,Success Guides,0010M00001NYqTt,Agentforce,2025-01-01,2025-01-01,0010M00001NYqTtQAL
1,Success Guides,0013000000HjzrI,Agentforce,2025-12-01,2025-12-01,0013000000HjzrIAAR
1,Success Guides,0010M00001S96ot,Agentforce,2025-09-01,2025-09-01,0010M00001S96otQAB
1,Success Guides,0010M00001WY2xW,Agentforce,2025-12-01,2025-11-01,0010M00001WY2xWQAT
1,Success Guides,0013000001MoAoZ,Agentforce,2025-02-01,2025-01-01,0013000001MoAoZAAV
1,Success Architects,0013y00001cU5WQ,Agentforce,2025-05-01,2025-04-01,0013y00001cU5WQQA0
1,Success Guides,0013000000M2oAL,Agentforce,2025-07-01,2025-06-01,0013000000M2oALAAZ
1,Success Guides,0013000000rqHGL,Agentforce,2025-12-01,2025-09-01,0013000000rqHGLAA2
1,Success Guides,0010M00001W8Vfl,Agentforce,2025-08-01,2025-07-01,0010M00001W8VflQAF
1,Success Guides,0013000000M2UOx,Agentforce,2025-11-01,2025-11-01,0013000000M2UOxAAN
1,Success Guides,0013000000HFFem,Agentforce,2025-07-01,2025-07-01,0013000000HFFemAAH
1,Success Guides,0013y00001gDkBN,Agentforce,2025-02-01,2025-02-01,0013y00001gDkBNQA0
1,Success Guides,0013000000HHKtz,Agentforce,2025-06-01,2025-05-01,0013000000HHKtzAAH
1,Success Guides,0013000000K13F4,Agentforce,2025-06-01,2025-05-01,0013000000K13F4AAJ
1,Success Guides,00130000005gxGp,Agentforce,2025-07-01,2025-06-01,00130000005gxGpAAI
1,Success Guides,0010M00001NYfo3,Agentforce,2025-12-01,2025-10-01,0010M00001NYfo3QAD
1,Success Guides,00130000001fKt0,Agentforce,2025-12-01,2025-11-01,00130000001fKt0AAE
1,Success Guides,0013000000Fcn5b,Agentforce,2025-07-01,2025-05-01,0013000000Fcn5bAAB
1,1:M Content,0013y00001dxwho,Agentforce,2025-11-01,2025-11-01,0013y00001dxwhoQAA
1,1:M Content,00130000003Tamo,Agentforce,2025-04-01,2025-04-01,00130000003TamoAAC
1,1:M Content,0013y00001h7r5K,Agentforce,2025-07-01,2025-07-01,0013y00001h7r5KQAQ
1,1:M Content,001ed000002xOUz,Agentforce,2025-05-01,2025-05-01,001ed000002xOUzYAM
1,1:M Content,001ed00000jWfUQ,Agentforce,2025-10-01,2025-10-01,001ed00000jWfUQYA0
1,1:M Content,0010M00001WkSDP,Agentforce,2025-03-01,2025-03-01,0010M00001WkSDPQA3
1,1:M Content,0010M00001QkZep,Agentforce,2025-01-01,2025-01-01,0010M00001QkZepQAF
1,1:M Content,001ed00000TyW2m,Agentforce,2025-05-01,2025-05-01,001ed00000TyW2mYAF
1,1:M Content,0010M00001U3wGP,Agentforce,2025-06-01,2025-06-01,0010M00001U3wGPQAZ
1,1:M Content,00100000001ldKJ,Agentforce,2025-11-01,2025-11-01,00100000001ldKJAAY
1,1:M Content,0013y00001caPXH,Agentforce,2025-07-01,2025-07-01,0013y00001caPXHQA2
1,1:M Content,0013000001CCpyb,Agentforce,2025-09-01,2025-09-01,0013000001CCpybAAD
