--,,Agentforce Scorecard

,,Success Plan,*
,,CL Influence,*
,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,,OU,# of Accounts,AF AOV,AF ACV,AF OP,AF PG,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,GLOBAL,Global,"7,379",244M,124M,100M,601M,,81.7B,15.0B,457.7M,0.6%,$47.7B,$0.1B,0.2%,+378M,+477%,3.1%,,720M,132M,5.7M,0.8%,735M,3.5M,0.5%,+2.2M,+64%,4.3%
,Global Excl SMB,Global Excl SMB,"4,900",230M,117M,98M,577M,,77.8B,14.2B,425.9M,0.5%,$46.1B,$0.1B,0.2%,+356M,+512%,3.0%,,711M,128M,5.2M,0.7%,725M,3.0M,0.4%,+2.2M,+72%,4.1%
,,AMER,"1,470",137M,65M,64M,379M,,39.7B,8.3B,230.2M,0.6%,$28.8B,$0.0B,0.1%,+195M,+547%,2.8%,,662M,110M,1.9M,0.3%,668M,1.0M,0.2%,+0.9M,+84%,1.7%
,REG,Reg. Ind,515,27M,16M,38M,114M,,8.8B,2.1B,76.2M,0.9%,$7.1B,$0.0B,0.1%,+67M,+748%,3.7%,,13M,6M,0.1M,0.8%,15M,0.0M,0.2%,+0.1M,+171%,1.7%
,FINS,FINS,213,7M,4M,6M,28M,,1.7B,0.7B,53.0M,3.1%,$0.7B,$0.0B,0.7%,+48M,+1032%,7.6%,,2M,1M,0.0M,0.0%,3M,0.0M,0.0%,-0.0M,-91%,0.0%
,HLS,HLS,203,18M,11M,31M,82M,,6.6B,1.2B,10.4M,0.2%,$6.1B,$0.0B,0.0%,+8M,+348%,0.9%,,9M,4M,0.0M,0.4%,10M,0.0M,0.1%,+0.0M,+185%,0.8%
,CAN,CAN,99,3M,1M,1M,5M,,0.5B,0.2B,12.8M,2.6%,$0.4B,$0.0B,0.5%,+11M,+544%,6.5%,,2M,1M,0.1M,2.8%,2M,0.0M,1.0%,+0.0M,+176%,7.2%
,ACC,Accl. Ind,589,92M,41M,23M,209M,,24.5B,5.0B,78.7M,0.3%,$18.0B,$0.0B,0.1%,+59M,+299%,1.6%,,638M,100M,0.7M,0.1%,641M,0.6M,0.1%,+0.1M,+16%,0.7%
,TMT,TMT,355,64M,21M,15M,158M,,16.9B,3.3B,35.8M,0.2%,$13.7B,$0.0B,0.1%,+24M,+202%,1.1%,,628M,96M,0.2M,0.0%,631M,0.3M,0.0%,-0.1M,-40%,0.2%
,CBS,CBS,234,28M,20M,8M,51M,,7.5B,1.7B,42.9M,0.6%,$4.3B,$0.0B,0.2%,+35M,+445%,2.5%,,10M,4M,0.6M,5.8%,10M,0.4M,3.7%,+0.2M,+55%,16.1%
,ICE,ICE,366,17M,8M,3M,55M,,6.4B,1.2B,75.3M,1.2%,$3.7B,$0.0B,0.2%,+68M,+995%,6.1%,,10M,4M,1.1M,10.3%,13M,0.4M,2.9%,+0.7M,+189%,27.6%
,MAE,MAE,259,10M,5M,2M,39M,,5.5B,1.0B,49.7M,0.9%,$2.9B,$0.0B,0.0%,+48M,+3704%,5.2%,,4M,2M,0.0M,0.2%,6M,0.1M,1.2%,-0.1M,-89%,0.5%
,RCG,RCG,107,7M,4M,1M,16M,,0.9B,0.3B,25.7M,2.8%,$0.8B,$0.0B,0.7%,+20M,+360%,9.5%,,7M,2M,1.1M,15.6%,7M,0.3M,4.3%,+0.8M,+259%,44.9%
,EMEA,EMEA,"1,316",44M,24M,17M,96M,,16.8B,2.7B,93.0M,0.6%,$7.9B,$0.0B,0.2%,+74M,+395%,3.4%,,25M,8M,1.1M,4.5%,30M,0.9M,3.1%,+0.2M,+22%,13.6%
,UKI,UKI,237,10M,7M,3M,32M,,5.5B,0.4B,15.2M,0.3%,$2.2B,$0.0B,0.2%,+10M,+214%,3.4%,,10M,3M,0.0M,0.3%,12M,0.1M,1.1%,-0.1M,-75%,1.3%
,FRANCE,FRANCE,236,9M,5M,6M,17M,,1.8B,0.4B,5.9M,0.3%,$0.7B,$0.0B,0.0%,+6M,+1553%,1.5%,,2M,1M,0.0M,1.7%,3M,0.0M,1.2%,+0.0M,+15%,2.6%
,CENTRAL,CENTRAL,273,8M,5M,1M,14M,,2.5B,0.5B,8.9M,0.4%,$0.8B,$0.0B,0.2%,+7M,+407%,1.9%,,2M,1M,0.0M,0.2%,3M,0.0M,0.2%,-0.0M,-56%,0.3%
,SOUTH,SOUTH,339,6M,4M,2M,11M,,3.7B,0.9B,34.0M,0.9%,$3.1B,$0.0B,0.3%,+25M,+265%,4.0%,,3M,1M,0.2M,6.9%,4M,0.2M,4.4%,+0.1M,+35%,17.9%
,NORTH,NORTH,231,10M,4M,5M,22M,,3.3B,0.5B,29.0M,0.9%,$1.1B,$0.0B,0.2%,+26M,+1049%,5.5%,,7M,2M,0.8M,11.5%,8M,0.6M,7.1%,+0.2M,+42%,39.3%
,ANZ,ANZ,228,5M,2M,1M,13M,,1.4B,0.3B,9.5M,0.7%,$0.8B,$0.0B,0.3%,+7M,+289%,3.7%,,3M,1M,0.1M,2.4%,4M,0.0M,1.3%,+0.0M,+31%,5.1%
,LATAM,LATAM,313,27M,14M,13M,40M,,12.3B,1.3B,62.9M,0.5%,$2.9B,$0.0B,0.2%,+57M,+1032%,4.8%,,14M,6M,2.0M,13.9%,16M,0.9M,6.0%,+1.1M,+116%,34.1%
,,OTHER
,JP,JP,743,4M,3M,1M,21M,,3.3B,0.5B,12.2M,0.4%,$2.9B,$0.0B,0.1%,+9M,+263%,2.3%,,1M,0M,0.0M,2.3%,1M,0.0M,1.8%,+0.0M,+35%,4.9%
,ASEAN,ASEAN,73,2M,1M,1M,4M,,0.3B,0.1B,6.3M,1.8%,$0.3B,$0.0B,0.3%,+5M,+703%,6.0%,,1M,0M,0.0M,3.1%,1M,0.0M,3.0%,-0.0M,-8%,5.3%
,INDIA,INDIA,219,2M,1M,1M,3M,,1.7B,0.5B,2.8M,0.2%,$1.4B,$0.0B,0.0%,+2M,+584%,0.6%,,1M,1M,0.0M,3.1%,1M,0.0M,3.0%,+0.0M,+1%,4.7%
,GCR,GCR,2,0M,0M,−,0M,,0.0B,0.0B,0.0M,0.1%,$0.0B,$0.0B,0.6%,-0M,-81%,0.8%,,−,−,−,-,−,−,-,–,-,0.0%
,GPS,GPS,536,10M,6M,0M,20M,,2.3B,0.6B,9.1M,0.4%,$1.2B,$0.0B,0.2%,+7M,+249%,1.5%,,4M,2M,0.0M,0.7%,5M,0.0M,0.4%,+0.0M,+50%,1.9%
,SMB,SMB,"2,479",14M,7M,2M,25M,,3.9B,0.7B,31.7M,0.8%,$1.6B,$0.0B,0.6%,+22M,+224%,4.2%,,9M,4M,0.5M,5.8%,10M,0.5M,4.4%,+0.1M,+13%,13.0%
,,Data refreshed as of: 1/12
