
,Data 360
,OU,# of Accounts,DC AOV ($),Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,Global,"5,135",888M,"1,785B",465B,208B,12%,"1,503B",160B,10.7%,+48B,+30%,45%
,AMER,"1,364",483M,"1,059B",242B,88B,8%,885B,76B,8.5%,+12B,+16%,36%
,ACC,500,209M,531B,119B,39B,7%,500B,42B,8.5%,-3B,-7%,33%
,REG,538,183M,256B,59B,16B,6%,134B,13B,9.7%,+3B,+21%,27%
,ICE,326,91M,273B,64B,33B,12%,251B,20B,8.0%,+13B,+62%,51%

,EMEA,"1,108",192M,303B,67B,25B,8%,212B,19B,9.1%,+5B,+27%,37%
,FRANCE,151,27M,25B,9B,8B,34%,14B,6B,43.9%,+2B,+36%,96%
,NORTH,200,18M,13B,3B,1B,8%,11B,1B,7.1%,+0B,+31%,31%
,UKI,180,55M,123B,20B,4B,3%,71B,3B,3.8%,+1B,+34%,18%
,CENTRAL,233,44M,70B,13B,2B,3%,61B,3B,4.4%,-0B,-15%,17%
,SOUTH,344,47M,72B,22B,9B,13%,56B,7B,12.5%,+2B,+32%,42%

,LATAM,356,65M,254B,89B,70B,28%,252B,44B,17.6%,+26B,+58%,79%
,ANZ,304,28M,32B,10B,2B,7%,30B,2B,5.7%,+1B,+35%,23%
,SASIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,GPS,531,53M,44B,16B,4B,10%,41B,3B,8.0%,+1B,+34%,26%
,SMB,756,19M,16B,4B,1B,5%,9B,1B,8.0%,+0B,+22%,22%
,JP,463,20M,11B,5B,2B,17%,11B,2B,13.7%,+0B,+31%,37%

,AF Flex
