
,,,,FLEX CREDITS,,,,,CONVERSATIONS,,,,,DATA SERVICE CREDITS
,,OU,# of accts,Under Consuming,Consuming,Consuming Well,,# of accts,Under Consuming,Consuming,Consuming Well,,# of accts,Under Consuming,Consuming,Consuming Well
,GLOBAL,Global,"1,491","1,406",42,43,,111,106,2,3,,898,818,35,45
,Global Excl SMB,Global Ex. SMB,"1,049",982,35,32,,44,39,2,3,,721,653,30,38
,REG,AMER REG,109,100,3,6,,4,4,0,0,,71,65,3,3
,ACC,AMER ACC,111,101,6,4,,6,5,0,1,,83,71,5,7
,ICE,AMER ICE,77,72,2,3,,7,7,0,0,,56,51,1,4
,LATAM,LATAM,64,60,3,1,,3,2,0,1,,70,59,5,6
,UKI,UKI,36,32,3,1,,2,1,1,0,,23,20,0,3
,CENTRAL,EMEA Central,61,59,2,0,,1,1,0,0,,42,37,2,3
,SOUTH,EMEA South,73,67,4,2,,1,1,0,0,,58,51,5,2
,FRANCE,EMEA FRANCE,62,59,1,2,,3,2,1,0,,35,34,1,0
,NORTH,EMEA North,64,59,2,3,,2,2,0,0,,35,34,1,0
,ANZ,ANZ,48,46,2,0,,0,0,0,0,,50,42,7,1
,JP,JPKR,154,142,4,8,,8,8,0,0,,69,63,0,6
,SASIA,SASIA,42,42,0,0,,4,3,0,1,,45,43,0,2
,GPS,PubSec+.org,148,143,3,2,,3,3,0,0,,84,83,0,1
,SMB,Global SMB,442,424,7,11,,67,67,0,0,,177,165,5,7


,,,,FLEX CREDITS,,,,,CONVERSATIONS,,,,,DATA SERVICE CREDITS
,,OU,# of accts,Under Consuming,Consuming,Consuming Well,,# of accts,Under Consuming,Consuming,Consuming Well,,# of accts,Under Consuming,Consuming,Consuming Well
,GLOBAL,Global,"1,491",94.3%,2.8%,2.9%,,111,95.5%,1.8%,2.7%,,898,91%,4%,5%
,Global Excl SMB,Global Ex. SMB,"1,049",65.9%,2.3%,2.1%,,44,35.1%,1.8%,2.7%,,721,73%,3%,4%
,REG,AMER REG,109,6.7%,0.2%,0.4%,,4,3.6%,0.0%,0.0%,,71,7%,0%,0%
,ACC,AMER ACC,111,6.8%,0.4%,0.3%,,6,4.5%,0.0%,0.9%,,83,8%,1%,1%
,ICE,AMER ICE,77,4.8%,0.1%,0.2%,,7,6.3%,0.0%,0.0%,,56,6%,0%,0%
,LATAM,LATAM,64,4.0%,0.2%,0.1%,,3,1.8%,0.0%,0.9%,,70,7%,1%,1%
,UKI,UKI,36,2.1%,0.2%,0.1%,,2,0.9%,0.9%,0.0%,,23,2%,0%,0%
,CENTRAL,EMEA Central,61,4.0%,0.1%,0.0%,,1,0.9%,0.0%,0.0%,,42,4%,0%,0%
,SOUTH,EMEA South,73,4.5%,0.3%,0.1%,,1,0.9%,0.0%,0.0%,,58,6%,1%,0%
,FRANCE,EMEA FRANCE,62,4.0%,0.1%,0.1%,,3,1.8%,0.9%,0.0%,,35,4%,0%,0%
,NORTH,EMEA North,64,4.0%,0.1%,0.2%,,2,1.8%,0.0%,0.0%,,35,4%,0%,0%
,ANZ,ANZ,48,3.1%,0.1%,0.0%,,0,0.0%,0.0%,0.0%,,50,5%,1%,0%
,JP,JPKR,154,9.5%,0.3%,0.5%,,8,7.2%,0.0%,0.0%,,69,7%,0%,1%
,SASIA,SASIA,42,2.8%,0.0%,0.0%,,4,2.7%,0.0%,0.9%,,45,5%,0%,0%
,GPS,PubSec+.org,148,9.6%,0.2%,0.1%,,3,2.7%,0.0%,0.0%,,84,9%,0%,0%
