,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,TOTALS,-,27.9M,6.2M,1.8M,18.1M,,,,,"31,179M","9,865M","2,152M",7%,"29,714M","1,562M",5%,+590M,+38%,22%
,001ed00000GDurEAAT,Optus Systems Pty Ltd**,2.1M,1.8M,−,1.9M,Signature,Katie Dale,29,,"1,024M",231M,8M,1%,"1,024M",8M,1%,+0M,+0%,3%
,001300000007kr6AAA,Telstra Limited,1.3M,−,−,1.5M,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,001ed00000Ffe7NAAR,Bendigo and Adelaide Bank Ltd.,0.7M,-0.0M,−,-0.0M,Premier,Katie Dale,52,,"5,200M",658M,1M,0%,"5,200M",0M,0%,+1M,+275%,0%
,0013y00001gLpt4AAC,Latitude Financial Services Australia Holdings Pty Ltd,0.7M,−,−,0.1M,Premier,Katie Dale,33,,880M,391M,361M,41%,880M,346M,39%,+16M,+5%,92%
,0013000000oSxn7AAC,Super Retail Group Services Pty Ltd,0.6M,−,1.2M,1.2M,Basic,Cameron Robert,19,,167M,63M,−,0%,167M,−,0%,–,-,0%
,00130000002xRuiAAE,Woolworths Group Limited,0.6M,−,−,1.2M,Signature,,9,,4M,3M,0M,0%,4M,0M,0%,–,–,0%
,0013000000hMZVgAAO,Bunnings Group Limited,0.6M,0.0M,−,0.1M,Signature,,24,,220M,85M,12M,5%,220M,8M,4%,+4M,+44%,14%
,0013y00001h5OmHAAU,AGL Energy Limited,0.6M,−,−,0.0M,Signature,Katie Dale,0,,115M,111M,0M,0%,115M,0M,0%,+0M,+81%,0%
,0010M00001ULvyAQAT,PVH Asia Limited,0.6M,−,−,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000000hJddAAAS,Medibank Private Ltd,0.5M,0.0M,−,0.0M,Premier,Katie Dale,23,,"3,433M","1,252M",52M,2%,"3,433M",31M,1%,+21M,+68%,4%
,0013000000rpmjPAAQ,Suncorp Corporate Services PTY LTD,0.5M,0.5M,−,0.2M,Signature,Katie Dale,27,,"1,372M",313M,8M,1%,"1,372M",2M,0%,+6M,+329%,3%
