TOTAL_COMPLETED_CASES,TEAM,ENG_ACCOUNT_ID,DERIVED_CLOUD,END_DT,START_DT,Acct_ID_18
1,Success Guides,0013000001MnryZ,Data Cloud,2024-10-01,2024-09-01,0013000001MnryZAAR
1,Onboarding Specialists,0010M00001QnXXZ,Data Cloud,2025-12-01,2025-12-01,0010M00001QnXXZQA3
1,Success Architects,0013000000rqy1R,Data Cloud,2025-07-01,2025-05-01,0013000000rqy1RAAQ
1,Success Architects,0013y00001cU5WQ,Data Cloud,2025-05-01,2025-04-01,0013y00001cU5WQQA0
1,Success Guides,0010M00001btvsa,Data Cloud,2025-01-01,2025-01-01,0010M00001btvsaQAA
1,Success Guides,0013000000M2oAL,Data Cloud,2025-07-01,2025-06-01,0013000000M2oALAAZ
1,Success Guides,0010M00001Sn4G8,Data Cloud,2023-12-01,2023-10-01,0010M00001Sn4G8QAJ
1,Success Guides,0013000000rqXZj,Data Cloud,2025-12-01,2025-11-01,0013000000rqXZjAAM
1,Onboarding Specialists,0013y00001cUC73,Data Cloud,2025-06-01,2025-06-01,0013y00001cUC73QAG
1,Onboarding Specialists,0010M00001QmqoG,Data Cloud,2025-01-01,2024-12-01,0010M00001QmqoGQAR
1,Success Guides,0010M00001WZmx6,Data Cloud,2025-07-01,2025-07-01,0010M00001WZmx6QAD
1,Success Guides,0010M00001QlMlX,Data Cloud,2024-06-01,2024-06-01,0010M00001QlMlXQAV
1,Success Guides,00100000001X1Of,Data Cloud,2025-05-01,2025-05-01,00100000001X1OfAAK
1,Success Architects,0013000000rqpai,Data Cloud,2024-12-01,2024-10-01,0013000000rqpaiAAA
1,Success Architects,0013y00001cseuU,Data Cloud,2025-09-01,2025-07-01,0013y00001cseuUQAQ
1,Success Guides,0013000000M1wST,Data Cloud,2023-09-01,2023-08-01,0013000000M1wSTAAZ
1,Onboarding Specialists,0013y00001Z1KVe,Data Cloud,2025-11-01,2025-08-01,0013y00001Z1KVeQAN
1,Success Guides,0010M00001UMcsa,Data Cloud,2025-02-01,2025-01-01,0010M00001UMcsaQAD
1,Success Guides,0013000000rndOb,Data Cloud,2025-09-01,2025-09-01,0013000000rndObAAI
1,Onboarding Specialists,00130000003JsyP,Data Cloud,2023-08-01,2023-07-01,00130000003JsyPAAS
1,Success Architects,0013000000ALdWo,Data Cloud,2025-05-01,2025-03-01,0013000000ALdWoAAL
1,Success Guides,00100000000nEZj,Data Cloud,2024-07-01,2024-06-01,00100000000nEZjAAM
1,Success Guides,0010M00001Yu8OS,Data Cloud,2025-12-01,2025-11-01,0010M00001Yu8OSQAZ
1,Success Guides,0013y00001eSEpb,Data Cloud,2025-12-01,2025-11-01,0013y00001eSEpbQAG
1,Success Guides,0013000000RYO3e,Data Cloud,2025-10-01,2025-09-01,0013000000RYO3eAAH
1,Success Guides,0010M00001QkrMt,Data Cloud,2025-02-01,2025-01-01,0010M00001QkrMtQAJ
1,Onboarding Specialists,0010M00001QaCvc,Data Cloud,2025-04-01,2025-02-01,0010M00001QaCvcQAF
1,Success Guides,00130000009lkTX,Data Cloud,2024-08-01,2024-07-01,00130000009lkTXAAY
1,Success Guides,00130000002aAAA,Data Cloud,2025-01-01,2025-01-01,00130000002aAAAAA2
1,Success Guides,0013000000roCWg,Data Cloud,2024-08-01,2024-08-01,0013000000roCWgAAM
1,Success Guides,0013000000ZjgDp,Data Cloud,2025-02-01,2025-02-01,0013000000ZjgDpAAJ
1,Success Architects,0013000000Ziqmj,Data Cloud,2025-06-01,2025-06-01,0013000000ZiqmjAAB
1,Success Guides,0013000001CCq1V,Data Cloud,2024-12-01,2024-12-01,0013000001CCq1VAAT
1,Success Guides,0013000000RZ2Ls,Data Cloud,2025-03-01,2025-02-01,0013000000RZ2LsAAL
1,Onboarding Specialists,0013000000M1auk,Data Cloud,2025-07-01,2025-06-01,0013000000M1aukAAB
1,Success Guides,0013000001L68uS,Data Cloud,2023-04-01,2023-03-01,0013000001L68uSAAR
1,Success Guides,0013000001NXenh,Data Cloud,2025-07-01,2025-07-01,0013000001NXenhAAD
1,Success Guides,0013000000rqpf4,Data Cloud,2025-11-01,2025-10-01,0013000000rqpf4AAA
1,Success Architects,0013y00001car1c,Data Cloud,2024-08-01,2024-07-01,0013y00001car1cQAA
1,Onboarding Specialists,0010M00001QnLbv,Data Cloud,2025-09-01,2025-08-01,0010M00001QnLbvQAF
1,Success Guides,0013000000GqJRh,Data Cloud,2025-03-01,2025-02-01,0013000000GqJRhAAN
1,Success Architects,00130000000e3qE,Data Cloud,2025-08-01,2025-06-01,00130000000e3qEAAQ
1,Success Guides,00130000002lrAA,Data Cloud,2025-10-01,2025-09-01,00130000002lrAAAAY
1,Success Guides,0013000001CCq9P,Data Cloud,2025-11-01,2025-10-01,0013000001CCq9PAAT
2,Success Guides,0013000000rpkHG,Data Cloud,2025-11-01,2025-10-01,0013000000rpkHGAAY
2,Success Guides,0010M00001PEmCB,Data Cloud,2024-09-01,2024-08-01,0010M00001PEmCBQA1
1,1:M Content,0010M00001Sq2Vq,Data Cloud,2024-09-01,2024-09-01,0010M00001Sq2VqQAJ
1,1:M Content,0010M00001UMdNY,Data Cloud,2024-12-01,2024-12-01,0010M00001UMdNYQA1
1,1:M Content,0013000000M1A1X,Data Cloud,2025-12-01,2025-12-01,0013000000M1A1XAAV
1,1:M Content,00130000016hgM6,Data Cloud,2024-10-01,2024-10-01,00130000016hgM6AAI
1,1:M Content,0013000000CrNYV,Data Cloud,2025-10-01,2025-10-01,0013000000CrNYVAA3
1,1:M Content,0013000001CBw6N,Data Cloud,2025-04-01,2025-04-01,0013000001CBw6NAAT
1,1:M Content,0010M00001WYffF,Data Cloud,2025-08-01,2025-08-01,0010M00001WYffFQAT
1,1:M Content,00130000003QTRs,Data Cloud,2025-05-01,2025-05-01,00130000003QTRsAAO
1,1:M Content,0013000000M0Nzd,Data Cloud,2025-11-01,2025-11-01,0013000000M0NzdAAF
1,1:M Content,0013y00001g9UCn,Data Cloud,2024-06-01,2024-06-01,0013y00001g9UCnQAM
1,1:M Content,0013y00001Xz3m9,Data Cloud,2025-01-01,2025-01-01,0013y00001Xz3m9QAB
1,1:M Content,0013y00001cyfug,Data Cloud,2024-12-01,2024-12-01,0013y00001cyfugQAA
1,1:M Content,0013000000C4Jro,Data Cloud,2025-02-01,2025-02-01,0013000000C4JroAAF
1,1:M Content,0010M00001W82aX,Data Cloud,2025-06-01,2025-06-01,0010M00001W82aXQAR
1,1:M Content,0013000001GYTnf,Data Cloud,2025-07-01,2025-07-01,0013000001GYTnfAAH
1,1:M Content,001ed00000aKAzP,Data Cloud,2025-07-01,2025-07-01,001ed00000aKAzPYAW
1,1:M Content,0013000001CCpyb,Data Cloud,2025-09-01,2025-09-01,0013000001CCpybAAD
1,1:M Content,0013000001NXdvr,Data Cloud,2025-02-01,2025-02-01,0013000001NXdvrAAD
1,1:M Content,001ed000003zHIP,Data Cloud,2024-12-01,2024-12-01,001ed000003zHIPYA2
1,1:M Content,0013000000ZjaJ9,Data Cloud,2025-01-01,2025-01-01,0013000000ZjaJ9AAJ
1,1:M Content,0013000001Mipkx,Data Cloud,2024-08-01,2024-08-01,0013000001MipkxAAB
1,1:M Content,00130000000cz3V,Data Cloud,2024-12-01,2024-12-01,00130000000cz3VAAQ
1,1:M Content,00130000002xHUj,Data Cloud,2025-02-01,2025-02-01,00130000002xHUjAAM
1,1:M Content,0010M00001S96ZP,Data Cloud,2025-10-01,2025-10-01,0010M00001S96ZPQAZ
1,1:M Content,00130000003Fv9B,Data Cloud,2025-02-01,2025-02-01,00130000003Fv9BAAS
1,1:M Content,001ed00000402p8,Data Cloud,2024-12-01,2024-12-01,001ed00000402p8YAA
1,1:M Content,0010M00001V40vL,Data Cloud,2025-01-01,2025-01-01,0010M00001V40vLQAR
1,1:M Content,0013000000I3SG5,Data Cloud,2024-07-01,2024-07-01,0013000000I3SG5AAN
