,,Data Cloud Scorecard

,,Success Plan,*
,,CL Influence,*

,,,,,,,,,DATA SERVICE CREDITS
,,OU,# of Accounts,DC AOV ($),DC ACV,DC OP,DC PG,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,GLOBAL,Global,"5,135",888M,219M,121M,921M,,"1,785B",465B,208B,12%,"1,503B",160B,10.7%,+48B,+30%,45%
,Global Excl SMB,Global Excl SMB,"4,379",870M,211M,119M,903M,,"1,769B",461B,207B,12%,"1,494B",160B,10.7%,+48B,+30%,45%
,,AMER,"1,364",483M,109M,89M,619M,,"1,059B",242B,88B,8%,885B,76B,8.5%,+12B,+16%,36%
,REG,REG,538,183M,50M,61M,227M,,256B,59B,16B,6%,134B,13B,9.7%,+3B,+21%,27%
,FINS,FINS,221,76M,22M,17M,100M,,169B,31B,7B,4%,52B,7B,12.7%,+1B,+9%,23%
,HLS,HLS,234,91M,26M,40M,115M,,76B,23B,5B,7%,71B,4B,5.8%,+1B,+29%,23%
,CAN,CAN,83,16M,2M,4M,12M,,11B,4B,3B,29%,11B,2B,21.5%,+1B,+39%,71%
,ACC,ACC,500,209M,41M,19M,300M,,531B,119B,39B,7%,500B,42B,8.5%,-3B,-7%,33%
,TMT,TMT,280,140M,23M,11M,206M,,417B,82B,6B,1%,400B,12B,3.0%,-6B,-48%,7%
,CBS,CBS,220,69M,18M,8M,94M,,114B,36B,33B,29%,100B,30B,30.5%,+3B,+9%,91%
,ICE,ICE,326,91M,18M,9M,92M,,273B,64B,33B,12%,251B,20B,8.0%,+13B,+62%,51%
,MAE,MAE,215,46M,10M,6M,60M,,88B,23B,1B,1%,87B,1B,0.6%,+1B,+90%,5%
,RCG,RCG,111,45M,8M,3M,32M,,184B,42B,32B,17%,164B,20B,11.9%,+12B,+62%,76%
,EMEA,EMEA,"1,108",192M,45M,19M,145M,,303B,67B,25B,8%,212B,19B,9.1%,+5B,+27%,37%
,UKI,UKI,180,55M,16M,2M,51M,,123B,20B,4B,3%,71B,3B,3.8%,+1B,+34%,18%
,FRANCE,FRANCE,151,27M,6M,6M,27M,,25B,9B,8B,34%,14B,6B,43.9%,+2B,+36%,96%
,CENTRAL,CENTRAL,233,44M,7M,4M,23M,,70B,13B,2B,3%,61B,3B,4.4%,-0B,-15%,17%
,SOUTH,SOUTH,344,47M,11M,4M,23M,,72B,22B,9B,13%,56B,7B,12.5%,+2B,+32%,42%
,NORTH,NORTH,200,18M,5M,3M,21M,,13B,3B,1B,8%,11B,1B,7.1%,+0B,+31%,31%
z,ANZ,ANZ,304,28M,6M,2M,18M,,32B,10B,2B,7%,30B,2B,5.7%,+1B,+35%,23%
,LATAM,LATAM,356,65M,17M,3M,46M,,254B,89B,70B,28%,252B,44B,17.6%,+26B,+58%,79%
,,OTHER
,JP,JP,463,20M,7M,1M,21M,,11B,5B,2B,17%,11B,2B,13.7%,+0B,+31%,37%
,ASEAN,ASEAN,100,8M,3M,1M,6M,,16B,6B,4B,23%,14B,4B,25.3%,-0B,-3%,60%
,INDIA,INDIA,148,20M,7M,2M,11M,,49B,25B,13B,26%,48B,10B,21.8%,+2B,+23%,52%
,GCR,GCR,5,1M,0M,−,0M,,0B,0B,0B,38%,0B,0B,28.7%,+0B,+31%,52%
,GPS,GPS,531,53M,17M,3M,36M,,44B,16B,4B,10%,41B,3B,8.0%,+1B,+34%,26%
,SMB,SMB,756,19M,8M,1M,18M,,16B,4B,1B,5%,9B,1B,8.0%,+0B,+22%,22%
,,Data refreshed as of: 1/12


,,BU ,SASIA
,,OU,*
,,Success Plan,*
,,CL Influence,*
,,,,,,,,,DATA SERVICE CREDITS
,,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,,SASIA (*),248,28M,10M,3M,17M,,65B,31B,16B,25%,63B,14B,23%,+2B,+17%,54%
,*,CDP,10,2M,0M,−,0M,,-,-,-,-,-,-,-,–,-,0%
,*,Excl CDP: ,238,26M,10M,3M,17M,,65B,31B,16B,25%,63B,14B,23%,+2B,+17%,54%
,10. <1K,<1K,16,0M,0M,−,0M,,0B,0B,0B,6%,0B,0B,3%,+0B,+159%,17%
,09. 1K-10K,1K-10K,63,0M,0M,1M,3M,,1B,0B,0B,25%,1B,0B,26%,+0B,+3%,70%
,08. 10K-50K,10K-50K,82,2M,1M,−,2M,,4B,1B,0B,8%,3B,0B,7%,+0B,+18%,27%
,07. 50K-100K,50K-100K,35,3M,1M,0M,2M,,4B,1B,1B,17%,4B,1B,21%,-0B,-20%,48%
,06. 100K-500K,100K-500K,35,7M,3M,0M,4M,,32B,18B,9B,28%,32B,7B,24%,+2B,+20%,49%
,05. 500K-1M,500K-1M,4,2M,1M,2M,2M,,11B,3B,2B,15%,10B,1B,14%,+0B,+22%,52%
,04. 1M-5M,1M-5M,2,2M,0M,0M,0M,,12B,6B,5B,37%,12B,4B,32%,+1B,+16%,74%
,03. 5M-10M,5M-10M,1,9M,4M,−,4M,,-,-,-,-,-,-,-,–,-,0%
,02. 10M-25M,10M-25M,0,−,−,−,−,,-,-,-,-,-,-,-,–,-,0%
,01. >25M,>25M,0,−,−,−,−,,-,-,-,-,-,-,-,–,-,0%
,,Data refreshed as of: 1/12
