customer,acct_id,acct_nm,OU Mapping,Customer Usage Category,tenure_segment,Low Consumption Customer,cust_crr_classification,Data Date,customer_dc_aov,cust_data_cloud_crr,Account Count,Count,Acct_ID_18
1STDAYSCHOOLSUPPLIES LLC,0013000000hIbvS,1st Day School Supplies,,Activate Anywhere,9-12 Months,Consumption >10k,Consuming,2-Jan,,,1,1,0013000000hIbvSAAS
1STDAYSCHOOLSUPPLIES LLC,0013000000hIbvS,1st Day School Supplies,,Activate Anywhere,9-12 Months,Consumption >10k,Consuming,2-Jan,,,1,1,0013000000hIbvSAAS
2CLOUDNINE PTY LTD*,0013000000RZxnH,2cloudnine Pty Ltd*,,Unified/Harmonized,3-6 Months,Consumption >10k,Consuming,2-Jan,,,1,1,0013000000RZxnHAAT
2GEZER,0010M00001WYnwi,2GEZER,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001WYnwiQAD
"2U, INC.",0013000000hL7m2,2U LLC,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hL7m2AAC
"2U, INC.",0013000000hL7m2,2U LLC,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hL7m2AAC
"2U, INC.",0013000000hL7m2,2U LLC,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hL7m2AAC
"2U, INC.",0013000000hL7m2,2U LLC,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000hL7m2AAC
3 DIMENSIONAL WEALTH,0013000001NX7h3,3 Dimensional Wealth,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001NX7h3AAD
3P LEARNING LIMITED,0013000001CCrbU,3P Learning Pty Ltd (Core Org),,Unified/Harmonized,0-3 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0013000001CCrbUAAT
3P LEARNING LIMITED,0013000001CCrbU,3P Learning Pty Ltd (Core Org),,Unified/Harmonized,0-3 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0013000001CCrbUAAT
4.6692 LIMITED,0013y00001YbTFv,新加坡商犀牛盾科技股份有限公司台灣分公司,,Activate Anywhere,12+ Months,CDP Only,No CRR,2-Jan,,,1,1,0013y00001YbTFvAAN
4.6692 LIMITED,0013y00001YbTFv,新加坡商犀牛盾科技股份有限公司台灣分公司,,Activate Anywhere,12+ Months,CDP Only,No CRR,2-Jan,,,1,1,0013y00001YbTFvAAN
7SPEAKING SA,0013000000LzlQz,7SPEAKING SA,,Activate Anywhere,6-9 Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000LzlQzAAJ
"8X8, INC.",00100000000Fj9m,8x8   Inc. - parent,,Unified/Harmonized,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,00100000000Fj9mAAC
10K ADVISORS,0010M00001P09DK,10K Advisors (Partner),,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001P09DKQAZ
10X HEALTH SYSTEM - NEW ORG (MAIN ORG TRANSFERRING OVER AT RENEWAL),001ed00000GoLBK,10X Health System - New Org (Main Org Transferring Over at Renewal),,Connected (including zero copy),9-12 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,001ed00000GoLBKAA3
20 CASHEWS PTY. LTD.,0013y00001fSqHa,Australian Community Media Data Cloud,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013y00001fSqHaAAK
20 CASHEWS PTY. LTD.,0013000001IgKXv,Australian College of the Arts Pty Ltd,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000001IgKXvAAN
20 CASHEWS PTY. LTD.,0013000001IgKXv,Australian College of the Arts Pty Ltd,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000001IgKXvAAN
24 CARAT NOMINEES PTY LTD,0013000000M2j0O,24 CARAT NOMINEES PTY LTD (Shiels Jewellers),,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000M2j0OAAR
37 CONSULTANT LTD,001ed00000pfYoR,37 CONSULTANT LTD,,No Production Usage,0-3 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,001ed00000pfYoRAAU
47 HOLDINGS INC.,0013000000hKO2i,"47 CO.,LTD.",,Activate Anywhere,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0013000000hKO2iAAG
123BIGBAGS,0013000001JxtzX,123bigbags,,Activate Anywhere,9-12 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001JxtzXAAR
"397 CAP, S.A. DE C.V., SOFOM, E.N.R.",0013y00001cSN3i,"TIP de México, S.A.P.I. de C.V.",,No Production Usage,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001cSN3iAAG
"397 CAP, S.A. DE C.V., SOFOM, E.N.R.",0013y00001cSN3i,"TIP de México, S.A.P.I. de C.V.",,No Production Usage,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001cSN3iAAG
1991 INC,0010M00001QaYUZ,Viz.ai,,Unified/Harmonized,3-6 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0010M00001QaYUZQA3
1661919 ONTARIO LIMITED,0013000000roCBO,Skin Vitality,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000roCBOAA2
4665181 MANITOBA LTD,0013000001GWf4M,A.I. Real Estate Technologies Inc.,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001GWf4MAAT
[PARTNER] ALTEA SPA,0013y00001cbFUv,Coolidea,,No Production Usage,9-12 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001cbFUvAAM
