ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
0010M00001WJMwYQAX,S&P Global - Executive Org,aBR300000004DJlGAM,333195.7117,183332.573,183332.573,0,0,0,0,Other
0013000001JyriPAAR,Frontiers Media SA,aBR0M000000GmtKWAS,1012801.425,552337.1284,0,537418.2021,0,14918.9263,0,Other
0013000000Zj83MAAR,"LEAVE A NEST CO.,LTD.",aBR3y000000kDC0GAM,161.7072,161.7072,161.7072,0,0,0,0,Other
0013000000ZlK9bAAF,Audi of America,aBR300000004Df2GAE,2550,2550,2550,0,0,0,0,Other
001ed00000mGGq0AAG,GYEONGGI BUSINESS & SCIENCE ACCELERATOR,aBR30000000L7k1GAC,5000,1000,1000,0,0,0,0,Other
00130000008eaEQAAY,KOMORI Corporation,aBR3y000000fyd3GAA,39173.5692,32988.2688,32988.2688,0,0,0,0,Other
0010M00001UEcB5QAL,A2A Energia S.p.A.,aBR300000004NjSGAU,156716.3285,139739.9161,76151.9161,0,63588,0,0,Other
0010M00001QaTD2QAN,SOK CRM,aBR300000004MUcGAM,2408.7849,767.1777,767.1777,0,0,0,0,Other
0013000000roz4rAAA,BERNINA International AG,aBR300000004N22GAE,10820.0155,10820.0155,0,10820.0155,0,0,0,Other
0013000001CBWfOAAX,Miami-Dade County - DC / MC / Slack,aBR3y000000LJAjGAO,374436.32,329560,329560,0,0,0,0,Other
0013000001HgccGAAR,Lexbase,0013000001HgccGAAR,5330.3554,5330.3554,5330.3554,0,0,0,0,Other
0010M00001WkttWQAR,"Organon, LLC",aBR3y000000sZKFGA2,335288.7315,189038.7315,0,165038.7315,0,24000,0,Other
0010M00001YtwTbQAJ,YPF S.A 2,aBR0M000000L8xRWAS,36204.576,12000,12000,0,0,0,0,Other
0010M00001VKbtvQAD,IG Index Limited,aBR30000000XlGRGA0,346240.3172,295566.095,0,223883.542,0,71682.553,0,Other
0013000001L6i2DAAR,"Cantor Fitzgerald Technology Markets, LLC",aBR300000004OI4GAM,60266.9771,6696.3308,6696.3308,0,0,0,0,Other
0013y00001eDPkSAAW,CMFG Life Insurance Company,aBR3y000000H6qOGAS,2810207.264,2810207.264,0,2587904.624,0,222302.64,0,Other
0013000000hIkuVAAS,orderbird GmbH,aBR3y000000yegAGAQ,55012.0813,55012.0813,53188.0733,1824.008,0,0,0,Other
0013y00001cg0MYAAY,Flashlight Learning,0013y00001cg0MYAAY,40780,40380,39000,0,1380,0,0,Other
0013y00001erIXAAA2,QuidelOrtho - Project Quantum Org,aBR300000004XYzGAM,13376,13376,12600,776,0,0,0,Other
00130000001g8VbAAI,"PODS Enterprises, LLC",aBR300000004EpuGAE,637426,637426,637426,0,0,0,0,Other
0013y00001gDO7FAAW,Banque Lombard Odier & Cie SA,aBR30000000L0WiGAK,5396.0472,5396.0472,2186.8126,1020.5126,0,2188.722,0,Other
0013000000NRcPLAA1,Changi Airport Group (Singapore) Pte. Ltd.,aBR3y000000Com1GAC,28052,19552,19276,0,276,0,0,Other
0013y00001cTJHDAA4,Consensus Cloud Solutions LLC,aBR3y000000PCtBGAW,163348.6596,163348.6596,163348.6596,0,0,0,0,Other
0010M00001WZrinQAD,UTI Asset Management Company Ltd,aBR3y000000XqyIGAS,75485.065,75485.065,0,68613.4868,0,6871.5782,0,Other
0013000000Zmi1kAAB,Prudential Assurance Company Singapore (Pte) Limited,aBR3y0000000Gp8GAE,129907.6202,129907.6202,0,111907.6202,0,18000,0,Other
0013000001CCu4NAAT,Bluecurrent NZ Limited,aBR30000000026oGAA,108000,108000,108000,0,0,0,0,Other
0010M00001WYwfeQAD,"Current Lighting Solutions, LLC",aBR3y0000004om6GAA,66585.4209,66585.4209,66585.4209,0,0,0,0,Other
0013y00001bezLYAAY,VALGROUP (Org 2),aBR3y000000CoPIGA0,42207.8348,27133.6081,27133.6081,0,0,0,0,Other
0013y00001d7J4CAAU,"FBG Enterprises OPCO, LLC",aBR3000000002JjGAI,19100,7500,7500,0,0,0,0,Other
0013000001GW5FFAA1,Turnberry Solutions (ThreeBridge Solutions),aBR3y000000Cfb4GAC,47457.9115,8343.6323,8067.6323,0,276,0,0,Other
0013000001GWf6HAAT,Groupe Nordik,0013000001GWf6HAAT,98346.2446,84040.6156,0,84040.6156,0,0,0,Other
0010M00001WaXhDQAV,BEC Financial Technologies a.m.b.a. (Faster Andelskasse),aBR0M000000Cda5WAC,1927.2469,1462.1249,291.8413,145.9207,1024.3629,0,0,Other
00130000002xe5pAAA,Ben Bridge Jeweler Inc.,aBR0M000000bmb3WAA,73500,73500,45000,0,22500,6000,0,Other
0013000000royd9AAA,University of Cincinnati Foundation,aBR30000000PBHGGA4,649.6441,249.8631,249.8631,0,0,0,0,Other
