ACCT_ID_18,CNTRY_COMBO_ID,GLOBAL_CO_COMBO_ID,ACCT_NM,PRODUCT_TYPE,TOTAL_NCR,FY24Q1,FY24Q2,FY24Q3,FY24Q4,FY25Q1,FY25Q2,FY25Q3,FY25Q4,FY26Q1,FY26Q2,FY26Q3,FY26Q4
0010000000000X1AAI,aBR300000004QehGAE,aBR30000000KzyWGAS,Slalom,DataCloud,2276.466897,0,0,0,0,0,117.9180917,141.4242732,335.7096377,388.475408,429.7036375,461.2281661,402.0076824
0010000000000bDAAQ,aBR0M000000LBWXWA4,aBR3y000000LE1tGAG,Banco Popular - Data Cloud 2,DataCloud,0,0,0,0,0,-0.0000000056,0.0000000056,0,0,0,0,0,0
0010000000000bnAAA,aBR300000004DbtGAE,aBR300000004UvhGAE,Ciena Corporation,DataCloud,0.0228466879,0,0,0,0,0,0,0.0000459326,0.0043651035,0.0095009766,0.0085860752,0.0003486,0
0010000000000ciAAA,0010000000000ciAAA,0010000000000ciAAA,Vitria Technology   Inc.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000h6AAA,aBR300000008SVcGAM,aBR3y000000yAyxGAE,Emmis Communications *MAIN HQ,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000h9AAA,aBR300000004DpXGAU,aBR300000004UWsGAM,Federal Express Corporation,DataCloud,0.0154905603,0,0,0,0,0,0,0,0,0,0.0154905603,0,0
0010000000000iUAAQ,0010000000000iUAAQ,0010000000000iUAAQ,Lyden Oil Co,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000000itAAA,aBR300000004DKoGAM,aBR3y0000010ydHGAQ,ACCO Brands USA LLC,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0010000000004GvAAI,aBR300000004DqRGAU,aBR3y0000010zoRGAQ,"OpenTable, Inc.",Agentforce,260350.8,0,0,0,0,0,0,0,7518,56974.8,137185.2,58672.8,0
0010000000004GvAAI,aBR300000004DqRGAU,aBR3y0000010zoRGAQ,"OpenTable, Inc.",DataCloud,21.4685039,0,0,0,0,0,0,0.000211447,13.26774045,0.082443792,0.1821014668,0.9521226445,6.9838841
001000000000PhQAAU,aBR3y000000HVWsGAO,aBR30000000Kz0WGAS,IDEC Corporation,DataCloud,7.590119432,0,0,0,0,0,0,0,0,2.414694652,4.93259927,0.131305284,0.1115202266
001000000000Q3bAAE,aBR300000004DYWGA2,aBR300000004VgxGAE,Elkay Manufacturing Company,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000000RJ7AAM,aBR300000004DH6GAM,aBR300000004VLuGAM,International Paper Company *MASTER*,DataCloud,4166.273428,0,0,0,0,0,0,0,0,1688.505168,1189.753817,531.1700221,756.8444214
001000000000UmpAAE,001000000000UmpAAE,aBR0M000000LCtxWAG,Trader Interactive,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000000VBgAAM,aBR3y0000004p9ZGAQ,aBR30000000KzCcGAK,"ON24, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000000VHeAAM,001000000000VHeAAM,001000000000VHeAAM,HockeyStack,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000000sgUAAQ,aBR300000004OIoGAM,aBR300000004UfXGAU,Hexagon Metrology Services Ltd (MSC Software Corporation),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000000wCbAAI,aBR300000004F4HGAU,aBR300000004VflGAE,"Insperity Services, L.P.",DataCloud,1.829392904,0,0,0,0,0,0,0,0,0.0467974727,0.3959521706,0.2043058248,1.182337436
0010000000017zfAAA,aBRed000000wEx5GAE,aBRed000000v2A1GAI,"ZS Associates, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001LQ0AAM,aBR3y0000004t3TGAQ,aBR3y000000xujWGAQ,"OutSource Management, Inc.",Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001LQ0AAM,aBR3y0000004t3TGAQ,aBR3y000000xujWGAQ,"OutSource Management, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001ZhbAAE,aBR300000004DMnGAM,aBR0M0000004gvLWAQ,"Myriad Genetics, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001cULAAY,aBR300000004F7eGAE,aBR300000004UgeGAE,Unisys Corporation,DataCloud,7237.540387,0,0,0,0,88.15655741,1110.397769,791.0085948,41.47446127,1031.663053,1845.55941,1584.651935,744.6286054
001000000001hxIAAQ,aBR300000004XaSGAU,001000000001hxIAAQ,NetDocuments*,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001hxIAAQ,aBR300000004XaSGAU,001000000001hxIAAQ,NetDocuments*,DataCloud,48.16380043,0,0,0,0,0,0,0,3.844806241,17.87359754,26.44539666,0,0
001000000001s00AAA,aBR300000004FixGAE,aBR300000004W1MGAU,FranklinCovey Co.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000001zcfAAA,aBR300000004F6TGAU,aBR300000004UdaGAE,"Cadence Design Systems, Inc.",DataCloud,0.022517364,0,0,0,0,0,0,0,0.0062921168,0.0092354477,0.0062641515,0.000717899,0.000007749
0010000000025oiAAA,aBR3y000000CeClGAK,aBR3y000000sYN8GAM,"Q International Courier, LLC",DataCloud,0.047947135,0,0,0,0,0,0,0,0,0.0005900659,0.0151350938,0.0313629226,0.0008590527
0010000000027D7AAI,aBRed000000zEPRGA2,aBRed000000FosXGAS,Pomeroy Technologies LLC,DataCloud,940.8689217,0,0,0,0,0,0,0,0,0,0,578.4759309,362.3929908
001000000002HbIAAU,aBR300000004EtPGAU,aBR0M000000LCk2WAG,UMB Financial Corporation,DataCloud,0.0000007861,0,0,0,0,0,0,0,0,0,0.0000001123,0.0000003369,0.0000003369
001000000002RSOAA2,aBR300000004DfBGAU,aBR300000004UzPGAU,"American Honda Motor Co., Inc.",DataCloud,1171.470498,0,0,0,0,0,0,0.2363042796,214.9512751,507.2006993,216.3027932,157.4007945,75.3786321
001000000002WRnAAM,aBR0M000000GnvAWAS,aBR3y000000LEzBGAW,Massachusetts Medical Society,DataCloud,0.00971908,0,0,0,0,0,0,0,0,0,0.0076297507,0.0017619981,0.0003273312
001000000002WRvAAM,aBR300000004QJuGAM,aBR0M000000fxsWWAQ,"Amadeus Hospitality, Inc.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000002bbnAAA,aBR0M0000008VZwWAM,aBR3y000000yDoqGAE,University of Louisville  - KY-MEP,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000002lWTAAY,aBR3y000000H7tYGAS,aBR3y00000112qYGAQ,Seaboard Corporation,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000002mmBAAQ,aBR3y0000004r6eGAA,aBR3y00000111FnGAI,Datamark,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000002x8ZAAQ,aBR300000004DMsGAM,aBR300000004V8eGAE,Gilead Sciences   Inc.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000002x8fAAA,aBR3y00000113ehGAA,aBR300000004UYjGAM,Varian Medical Systems Inc.,DataCloud,26.07030035,0,0,0,0,0,0,0.0971904261,0.2274741756,13.27523957,0.5934665984,11.3708393,0.5060902823
001000000003ArVAAU,aBR0M000000CdVoWAK,aBR3y000000yIyjGAE,Wind River Systems,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000003CkwAAE,aBR3y000000TToEGAW,aBR3y00000112xGGAQ,THE GEM GROUP INC,DataCloud,5.681313979,0,0,0,0,0.0002575791,0.1052670946,0.0102998916,5.565489414,0,0,0,0
001000000004NKDAA2,aBRed000000wab7GAA,aBRed000000vKfsGAE,"BCM, LLC",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000004aOoAAI,aBR300000004DdhGAE,aBR300000004UeWGAU,NVIDIA Corporation,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000004aOoAAI,aBR300000004DdhGAE,aBR300000004UeWGAU,NVIDIA Corporation,DataCloud,5704.426035,0,0,0,0,0,0,0,0,0,0,2223.033872,3481.392164
001000000004lTqAAI,aBR3y0000000GRBGA2,aBR3y0000010zNaGAI,Atlas Machine and Supply,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000005gq4AAA,aBR3y000000H8DGGA0,aBR0M000000fyLJWAY,Upland Software,DataCloud,0.0057654338,0,0,0,0,0,0,0.0009458065,0.0015411442,0.0022045644,0.0010303113,0.0000364873,0.0000071201
001000000006WE1AAM,aBR300000004E8aGAE,aBR300000004VRQGA2,Fastenal Company,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000006rVyAAI,aBR0M0000000AXtWAM,aBR300000004UwkGAE,ScholarOne,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000006rVyAAI,aBR0M0000000AXtWAM,aBR300000004UwkGAE,ScholarOne,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
001000000007X4yAAE,aBR300000004C9KGAU,aBR300000004UWhGAM,Comcast Technology Solutions,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
