
Account #,Account Name,CL,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Conv Allowance,Flex Credits Allowance,Support Level 
0010M00001YFgKaQAL,Google LLC,,17M,−,−,−,Agents Created in Prod or Sandbox,620M,−,Signature
00100000001UPGhAAO,"Dell USA, L.P.",,11M,5M,−,6M,Purchased SKU,−,"2,200M",Signature
0013000000ronZUAAY,"CrowdStrike, Inc.",Jesus Sanchez,9M,6M,−,7M,Consistently Using,−,"8,254M",Signature
0013000000Gtw9gAAB,Qwest Corporation,,8M,−,−,16M,Agents Used in Prod,−,−,Signature
0013y00001be1lnAAA,Betfair Interactive US LLC,Joseph Zomayah,3M,1M,0M,2M,Agents Created in Prod or Sandbox,4M,−,Signature
00130000000rUlVAAU,Lennar Corporation*,Shankar Balasubramanian,2M,−,2M,3M,Consistently Using,−,518M,Premier
0013000001CApWBAA1,Trimble Inc (Enterprise),,1M,−,1M,2M,Purchased SKU,−,−,Signature
00130000005XZL6AAO,"Workday, Inc.",,1M,0M,−,2M,Agents Created in Prod or Sandbox,−,180M,Signature
0010M00001V48w9QAB,"Covetrus, Inc.",,1M,1M,−,1M,Consistently Using,1M,−,Signature
001ed00000XnOsbAAF,"Equinix, Inc.",,1M,0M,−,0M,Agents Created in Prod or Sandbox,−,753M,Signature
0013000000M1b5RAAR,Southwest Airlines Co.,,1M,1M,−,2M,Agents Created in Prod or Sandbox,0K,"1,600,200K",Signature
0010M00001WJB2hQAH,UFL - United Football League,Matt Nesci,1M,−,−,−,Agents Used in Prod,436K,0K,Premier
00130000000TCmwAAG,"Kaseya US, LLC",,1M,0M,−,0M,Agents Used in Prod,0K,"131,400K",Signature
00100000000jyEqAAI,Quest Software Inc.,Sam Elliott,1M,−,-199M,-199M,Agents Created in Prod or Sandbox,401K,0K,Premier
00130000016gEL8AAM,"Risepoint, LLC",Taylor DiVincenzo,1M,−,−,0M,Agents Created in Prod or Sandbox,451K,0K,Premier
0013000000hJ6zvAAC,"Block, Inc.",,1M,−,0M,0M,Agents Created in Prod or Sandbox,251K,0K,Signature
0013y00001bdiZzAAI,"EmployBridge, LLC",,0M,−,1M,0M,Agents Used in Prod,"1,201K",0K,Premier
0013y00001dKx9xAAC,GBT Travel Services UK Limited (Egencia),,0M,−,−,−,Agents Created in Prod or Sandbox,0K,"815,100K",Signature
0013000000M0f9iAAB,"West Monroe Partners, LLC.",Shankar Balasubramanian,0M,−,0M,1M,Agents Created in Prod or Sandbox,221K,0K,Premier
00100000000ZNMWAA4,Skillsoft (US) LLC,Sam Elliott,0M,−,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),"1,202K",0K,Premier
0010M00001Qjq3WQAR,SonicWall Inc.,,0M,−,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),482K,0K,Signature
0013000000EzxNFAAZ,"Outdoor Management Services, Inc.",,0M,0M,0M,1M,Agents Used in Prod,0K,"383,600K",Premier
0013000000Lifj8AAB,Open English,Nick Stevens,0M,−,−,0M,Agents Used in Prod,886K,0K,Premier
0010M00001NYofxQAD,"Cyracom International, Inc*",,0M,0M,,0M,Purchased SKU,0K,"70,000K",Premier
0013y00001f62K6AAI,"McKinsey & Company, Inc. United States",,0M,0M,1M,0M,Agents Created in Prod or Sandbox,0K,"50,100K",Signature
0013000001GHjIsAAL,"Pearson Education, Inc.",Joseph Zomayah,0M,−,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"137,700K",Signature
0013y00001d6xbjAAA,"Cengage Learning, Inc.",,0M,−,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),501K,0K,Signature
00130000004IFXFAA4,Panasonic - Blue Yonder Inc,,0M,0M,−,−,Agents Created in Prod or Sandbox,0K,"60,100K",Signature
0013y00001cU2S1AAK,iRobot,,0M,0M,,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),196K,0K,Signature
001ed00000MPd37AAD,LR Specialty Services LLC*,,0M,0M,−,0M,Agents Activated in Prod,161K,0K,Premier
00130000000Ty8uAAC,Concentrix Solutions Corp.,,0M,−,−,1M,Agents Created in Prod or Sandbox,301K,0K,Signature
001ed00000DiYWQAA3,"Disney Parks Technology Services Co., LLC",,0M,0M,−,1M,Agents Created in Prod or Sandbox,111K,0K,Signature
001ed00000T7CWoAAN,"NTT DATA Americas, Inc.",,0M,0M,−,0M,Purchased SKU,0K,"90,100K",Premier
00100000001KsQCAA0,Six Flags Entertainment Corporation,Joseph Zomayah,0M,0M,−,−,Agents Used in Prod,0K,"77,500K",Premier
00100000002IsDcAAK,"Fortinet, Inc.",Jesus Sanchez,0M,0M,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),126K,0K,Premier
0010M00001QqSCiQAN,Informatica LLC,,0M,−,−,0M,Agents Created in Prod or Sandbox,209K,0K,Premier
00100000000iYOiAAM,UKG Inc.,,0M,−,1M,1M,Purchased SKU,0K,0K,Signature
0013000000M2Ob2AAF,"Axon Enterprise, Inc.",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"83,400K",Signature
00130000009zAXXAA2,"Indeed, Inc.",,0M,−,−,−,Purchased SKU,0K,0K,Signature
0010M00001WJFfOQAX,Presidio Org2,,0M,0M,−,0M,Agents Used in Prod,0K,"38,600K",Signature
00130000001JFI2AAO,"Perficient, Inc.",,0M,0M,0M,0M,Agents Used in Prod,0K,"34,500K",Signature
